query_id,split,family,persona,fid,gt,pair_id,off_rel,off_dec,menu_rel,menu_dec,abac_perm_rel,abac_perm_dec,abac_restr_rel,abac_restr_dec,r3only_rel,r3only_dec,pdp_rel,pdp_dec,pdp_tr_rel,pdp_tr_dec
Q0031,standard,,S_ACC:E_S_ACC,G08-00718,withhold,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,0,DENY(R3),0,DENY,0,DENY
Q0032,standard,,S_ACC:E_S_ACC,G08-00712,withhold,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,0,DENY(R3),0,DENY,0,DENY
Q0033,standard,,H_HR:E_H_HR,G08-00601,release,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT
Q0034,standard,,H_HR:E_H_HR,G08-00721,release,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT
Q0035,standard,,B_RHQ:E_B_RHQ,G08-00745,withhold,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,0,DENY(R3),0,DENY,0,DENY
Q0036,standard,,B_RHQ:E_B_RHQ,G08-00817,withhold,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,0,DENY(R3),0,DENY,0,DENY
Q0037,standard,,F_PAY:E_F_PAY,G08-00736,release,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT
Q0038,standard,,F_PAY:E_F_PAY,G08-00712,release,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT
Q0039,standard,,B_BR:E_B_BR,G08-00715,withhold,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,0,DENY(R3),0,DENY,0,DENY
Q0040,standard,,B_BR:E_B_BR,G08-00844,withhold,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,0,DENY(R3),0,DENY,0,DENY
Q0041,standard,,F_SEC:E_F_SEC,G08-00760,release,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT
Q0042,standard,,F_SEC:E_F_SEC,G08-00691,release,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT
Q0043,standard,,F_SAL:E_F_SAL,G08-00742,withhold,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,0,DENY(R3),0,DENY,0,DENY
Q0044,standard,,F_SAL:E_F_SAL,G08-00781,withhold,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,0,DENY(R3),0,DENY,0,DENY
Q0045,standard,,F_CMP:E_F_CMP,G08-01036,release,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT
Q0046,standard,,F_CMP:E_F_CMP,G08-01046,release,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT
Q0047,standard,,F_SEC:E_F_SEC,G08-00936,withhold,,1,PERMIT,1,PERMIT,1,PERMIT,0,DENY,0,DENY(R3),0,DENY,0,DENY
Q0048,standard,,F_SEC:E_F_SEC,G08-00940,withhold,,1,PERMIT,1,PERMIT,1,PERMIT,0,DENY,0,DENY(R3),0,DENY,0,DENY
Q0049,standard,,H_HR:E_H_HR,G08-00972,release,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT
Q0050,standard,,H_HR:E_H_HR,G08-00940,release,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT
Q0051,standard,,F_PAY:E_F_PAY,G08-01020,release,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT
Q0052,standard,,F_PAY:E_F_PAY,G08-00940,release,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT
Q0053,standard,,B_BR:E_B_BR,G08-00976,withhold,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,0,DENY(R3),0,DENY,0,DENY
Q0054,standard,,B_BR:E_B_BR,G08-01012,withhold,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,0,DENY(R3),0,DENY,0,DENY
Q0055,standard,,B_BR:E_B_BR,G05-00208,withhold,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,0,DENY(R3),0,DENY,0,DENY
Q0056,standard,,B_BR:E_B_BR,G05-00153,withhold,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,0,DENY(R3),0,DENY,0,DENY
Q0057,standard,,B_RHQ:E_B_RHQ,G05-00138,withhold,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,0,DENY(R3),0,DENY,0,DENY
Q0058,standard,,B_RHQ:E_B_RHQ,G05-00308,withhold,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,0,DENY(R3),0,DENY,0,DENY
Q0059,standard,,F_SAL:E_F_SAL,G05-00208,release,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT
Q0060,standard,,F_SAL:E_F_SAL,G05-00318,release,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT
Q0061,standard,,F_CMP:E_F_CMP,G05-00148,release,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT
Q0062,standard,,F_CMP:E_F_CMP,G05-00143,release,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT
Q0063,standard,,H_HR:E_H_HR,G05-00213,withhold,,1,PERMIT,0,DENY,0,DENY,0,DENY,0,DENY(R3),0,DENY,0,DENY
Q0064,standard,,H_HR:E_H_HR,G05-00288,withhold,,1,PERMIT,0,DENY,0,DENY,0,DENY,0,DENY(R3),0,DENY,0,DENY
Q0065,standard,,F_PAY:E_F_PAY,G05-00108,withhold,,1,PERMIT,0,DENY,0,DENY,0,DENY,0,DENY(R3),0,DENY,0,DENY
Q0066,standard,,F_PAY:E_F_PAY,G05-00213,withhold,,1,PERMIT,0,DENY,0,DENY,0,DENY,0,DENY(R3),0,DENY,0,DENY
Q0067,standard,,S_ACC:E_S_ACC,G05-00093,withhold,,1,PERMIT,0,DENY,0,DENY,0,DENY,0,DENY(R3),0,DENY,0,DENY
Q0068,standard,,S_ACC:E_S_ACC,G05-00328,withhold,,1,PERMIT,0,DENY,0,DENY,0,DENY,0,DENY(R3),0,DENY,0,DENY
Q0069,standard,,F_SEC:E_F_SEC,G05-00083,withhold,,1,PERMIT,0,DENY,0,DENY,0,DENY,0,DENY(R3),0,DENY,0,DENY
Q0070,standard,,F_SEC:E_F_SEC,G05-00263,withhold,,1,PERMIT,0,DENY,0,DENY,0,DENY,0,DENY(R3),0,DENY,0,DENY
Q0071,standard,,B_BR:E_B_BR,G05-00488,withhold,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,0,DENY(R3),0,DENY,0,DENY
Q0072,standard,,B_BR:E_B_BR,G05-00573,withhold,,1,PERMIT,1,PERMIT,1,PERMIT,1,PERMIT,0,DENY(R3),0,DENY,0,DENY
