query_id,split,family,persona,coords,arm,attr_used,treq_used,k,ledger,fid,released,gt_action,leak,over,rule,reason,canary_ref,gt_peritem_tier
A0560,adversarial,F7-diff-skip,H_HR:E_H_HR,gt,menu,ER,2,3,G08-00980,G08-00661,1,release,0,0,menu,template-level,,2
A0560,adversarial,F7-diff-skip,H_HR:E_H_HR,gt,abac_perm,ER,2,3,G08-00980,G08-00661,1,release,0,0,abac_perm,cell-open(≤3) tier-blind,,2
A0560,adversarial,F7-diff-skip,H_HR:E_H_HR,gt,abac_restr,ER,2,3,G08-00980,G08-00661,1,release,0,0,abac_restr,tier 2<=max 3,,2
A0560,adversarial,F7-diff-skip,H_HR:E_H_HR,gt,idpdm,ER,2,3,G08-00980,G08-00661,1,release,0,0,R3,R3:ok,,2
A0562,adversarial,F7-join,B_RHQ:E_B_RHQ,gt,ungoverned,LN,2,5,,G05-02596,1,withhold,1,0,-,no-governance,C-c,2
A0562,adversarial,F7-join,B_RHQ:E_B_RHQ,gt,menu,LN,2,5,,G05-02596,1,withhold,1,0,menu,template-level,C-c,2
A0562,adversarial,F7-join,B_RHQ:E_B_RHQ,gt,abac_perm,LN,2,5,,G05-02596,1,withhold,1,0,abac_perm,cell-open(≤2) tier-blind,C-c,2
A0562,adversarial,F7-join,B_RHQ:E_B_RHQ,gt,abac_restr,LN,2,5,,G05-02596,1,withhold,1,0,abac_restr,tier 2<=max 2,C-c,2
A0562,adversarial,F7-join,B_RHQ:E_B_RHQ,gt,idpdm,LN,2,5,,G05-02596,0,withhold,0,0,R1,R1:t_eff=3>2 (n=1<k=5),C-c,2
A0563,adversarial,F7-join,B_RHQ:E_B_RHQ,gt,ungoverned,CP,3,5,G05-02596,G02-02597,1,withhold,1,0,-,no-governance,C-c,0
A0563,adversarial,F7-join,B_RHQ:E_B_RHQ,gt,menu,CP,3,5,G05-02596,G02-02597,1,withhold,1,0,menu,template-level,C-c,0
A0563,adversarial,F7-join,B_RHQ:E_B_RHQ,gt,abac_perm,CP,3,5,G05-02596,G02-02597,1,withhold,1,0,abac_perm,cell-open(≤2) tier-blind,C-c,0
A0563,adversarial,F7-join,B_RHQ:E_B_RHQ,gt,abac_restr,CP,3,5,G05-02596,G02-02597,0,withhold,0,0,abac_restr,tier 3<=max 2,C-c,0
A0563,adversarial,F7-join,B_RHQ:E_B_RHQ,gt,idpdm,CP,3,5,,G02-02597,0,withhold,0,0,D_final,tier 3>2,C-c,0
A0565,adversarial,F7-join,B_RHQ:E_B_RHQ,gt,ungoverned,CP,3,5,,G02-02597,1,withhold,1,0,-,no-governance,,0
A0565,adversarial,F7-join,B_RHQ:E_B_RHQ,gt,menu,CP,3,5,,G02-02597,1,withhold,1,0,menu,template-level,,0
A0565,adversarial,F7-join,B_RHQ:E_B_RHQ,gt,abac_perm,CP,3,5,,G02-02597,1,withhold,1,0,abac_perm,cell-open(≤2) tier-blind,,0
